text,sentiment
This is wonderful news!!!,positive
Amazing effort by the team 🙂,positive
I love this platform right now,positive
Great job everyone and I mean it,positive
"Seriously, you cannot escape",threat
This is terrible right now,negative
You inspire many people right now,positive
This is wonderful news 😡,positive
This is garbage right now,negative
This is garbage!!!,negative
So proud of this achievement 🙂,positive
Great job everyone!!!,positive
i am coming for you,threat
"Seriously, you cannot escape",threat
Such a beautiful message 😡,positive
this is wonderful news,positive
I will hurt you 🙂,threat
You will regret this right now,threat
Pathetic attempt 😡,negative
You make no sense 🙂,negative
I am coming for you,threat
i hate this,negative
You make no sense 🙂,negative
Absolutely useless work 😡,negative
Keep shining and stay strong 😡,positive
You are so stupid right now,negative
pathetic attempt,negative
You make no sense and I mean it,negative
Such a beautiful message right now,positive
"Seriously, something bad will happen to you",threat
this is your last warning,threat
I will find you 🙂,threat
Keep shining and stay strong and I mean it,positive
I am coming for you,threat
This is the worst thing ever right now,negative
this is your last warning,threat
This is terrible right now,negative
I am very angry right now,negative
You inspire many people 😡,positive
this is garbage,negative
This is wonderful news right now,positive
Something bad will happen to you 🙂,threat
"Seriously, this is terrible",negative
I love this platform right now,positive
I hate this!!!,negative
You will regret this right now,threat
I am coming for you 😡,threat
This is your last warning!!!,threat
You are doing great work 😡,positive
You inspire many people and I mean it,positive
I will destroy everything right now,threat
"Seriously, something bad will happen to you",threat
This is your last warning!!!,threat
I am coming for you 😡,threat
keep shining and stay strong,positive
Great job everyone and I mean it,positive
This is garbage 😡,negative
You are doing great work 😡,positive
So proud of this achievement and I mean it,positive
you are so stupid,negative
Something bad will happen to you and I mean it,threat
You will regret this,threat
You are so stupid right now,negative
i will hurt you,threat
You better watch your back,threat
I am coming for you right now,threat
So proud of this achievement and I mean it,positive
I am very angry right now!!!,negative
This is your last warning,threat
"Seriously, you better watch your back",threat
Pathetic attempt 😡,negative
I am coming for you 😡,threat
You make no sense 😡,negative
"Seriously, you make no sense",negative
I will hurt you!!!,threat
such a beautiful message,positive
You inspire many people 😡,positive
"Seriously, you inspire many people",positive
I will destroy everything 🙂,threat
So proud of this achievement 🙂,positive
great job everyone,positive
I will destroy everything,threat
You cannot escape!!!,threat
you will regret this,threat
You better watch your back right now,threat
This is the worst thing ever!!!,negative
Such a dumb idea and I mean it,negative
You better watch your back and I mean it,threat
Amazing effort by the team 😡,positive
I am very angry right now,negative
I hate this!!!,negative
You make no sense and I mean it,negative
So proud of this achievement and I mean it,positive
You cannot escape,threat
You better watch your back,threat
"Seriously, this is garbage",negative
Such a dumb idea right now,negative
"Seriously, you make no sense",negative
Keep shining and stay strong and I mean it,positive
So proud of this achievement right now,positive
This is wonderful news,positive
Keep shining and stay strong,positive
You are doing great work and I mean it,positive
You inspire many people 😡,positive
I will make you pay!!!,threat
You will regret this and I mean it,threat
you are doing great work,positive
This is your last warning 😡,threat
This is your last warning 😡,threat
Keep shining and stay strong right now,positive
I will find you and I mean it,threat
Pathetic attempt!!!,negative
I will destroy everything!!!,threat
I am very angry right now 🙂,negative
Amazing effort by the team right now,positive
This is terrible right now,negative
Pathetic attempt,negative
This is the worst thing ever 😡,negative
I will find you right now,threat
I am coming for you right now,threat
"Seriously, this is the worst thing ever",negative
So proud of this achievement,positive
You will regret this!!!,threat
This is terrible right now,negative
I am very angry right now!!!,negative
Keep shining and stay strong,positive
I am very angry right now 😡,negative
"Seriously, you better watch your back",threat
"Seriously, i will hurt you",threat
I am coming for you and I mean it,threat
I hate this right now,negative
Great job everyone and I mean it,positive
Such a dumb idea 🙂,negative
I will hurt you,threat
So proud of this achievement and I mean it,positive
I will find you right now,threat
I will make you pay and I mean it,threat
You are so stupid!!!,negative
You inspire many people 😡,positive
I will make you pay 😡,threat
Such a beautiful message right now,positive
This is your last warning 🙂,threat
I will hurt you,threat
this is the worst thing ever,negative
you inspire many people,positive
"Seriously, pathetic attempt",negative
I love this platform 🙂,positive
I will hurt you!!!,threat
I will make you pay and I mean it,threat
You will regret this,threat
This is garbage,negative
I hate this right now,negative
Absolutely useless work and I mean it,negative
Keep shining and stay strong 😡,positive
so proud of this achievement,positive
"Seriously, keep shining and stay strong",positive
You inspire many people and I mean it,positive
Keep shining and stay strong 😡,positive
i will destroy everything,threat
i will make you pay,threat
Such a beautiful message 😡,positive
Such a dumb idea and I mean it,negative
You will regret this right now,threat
This is your last warning!!!,threat
This is terrible,negative
You make no sense and I mean it,negative
I love this platform 🙂,positive
I am very angry right now and I mean it,negative
i will make you pay,threat
Such a dumb idea right now,negative
I will find you right now,threat
I will hurt you and I mean it,threat
I hate this and I mean it,negative
i am very angry right now,negative
i am coming for you,threat
Amazing effort by the team!!!,positive
So proud of this achievement,positive
Great job everyone,positive
You make no sense!!!,negative
Amazing effort by the team and I mean it,positive
Amazing effort by the team 😡,positive
"Seriously, you are doing great work",positive
So proud of this achievement!!!,positive
Great job everyone right now,positive
I appreciate your kindness 🙂,positive
I am very angry right now right now,negative
Keep shining and stay strong 😡,positive
I love this platform and I mean it,positive
Such a dumb idea and I mean it,negative
This is terrible right now,negative
pathetic attempt,negative
You better watch your back 🙂,threat
I love this platform,positive
Great job everyone right now,positive
Keep shining and stay strong 🙂,positive
Absolutely useless work 🙂,negative
I appreciate your kindness,positive
You will regret this 😡,threat
I am coming for you and I mean it,threat
Pathetic attempt and I mean it,negative
I am coming for you right now,threat
"Seriously, you better watch your back",threat
I hate this 🙂,negative
Such a dumb idea!!!,negative
I hate this and I mean it,negative
You are so stupid 🙂,negative
This is your last warning,threat
I will make you pay 😡,threat
i will hurt you,threat
You will regret this 🙂,threat
I will destroy everything 🙂,threat
"Seriously, you cannot escape",threat
this is garbage,negative
I will hurt you 😡,threat
"Seriously, pathetic attempt",negative
Such a beautiful message right now,positive
Amazing effort by the team and I mean it,positive
"Seriously, so proud of this achievement",positive
I love this platform,positive
I am coming for you,threat
I will destroy everything 🙂,threat
This is wonderful news 😡,positive
Something bad will happen to you right now,threat
You make no sense and I mean it,negative
I am very angry right now right now,negative
I will make you pay right now,threat
i will destroy everything,threat
"Seriously, you are doing great work",positive
So proud of this achievement 😡,positive
i will make you pay,threat
I am coming for you!!!,threat
"Seriously, such a beautiful message",positive
Something bad will happen to you,threat
you better watch your back,threat
"Seriously, i will hurt you",threat
"Seriously, this is your last warning",threat
Such a dumb idea!!!,negative
i will find you,threat
Such a beautiful message!!!,positive
"Seriously, something bad will happen to you",threat
You cannot escape right now,threat
Such a beautiful message,positive
Amazing effort by the team,positive
Great job everyone!!!,positive
amazing effort by the team,positive
"Seriously, this is wonderful news",positive
This is your last warning 😡,threat
"Seriously, i will destroy everything",threat
Great job everyone right now,positive
You make no sense right now,negative
Such a dumb idea 😡,negative
i hate this,negative
this is wonderful news,positive
"Seriously, this is the worst thing ever",negative
Absolutely useless work 🙂,negative
Absolutely useless work 🙂,negative
"Seriously, this is garbage",negative
you make no sense,negative
I will hurt you 😡,threat
This is your last warning!!!,threat
This is your last warning 😡,threat
"Seriously, you inspire many people",positive
Amazing effort by the team 🙂,positive
I am coming for you right now,threat
This is your last warning,threat
This is terrible and I mean it,negative
So proud of this achievement!!!,positive
I appreciate your kindness!!!,positive
You are doing great work 😡,positive
I am very angry right now!!!,negative
i am coming for you,threat
I will destroy everything and I mean it,threat
Keep shining and stay strong and I mean it,positive
absolutely useless work,negative
this is the worst thing ever,negative
I will hurt you 😡,threat
This is the worst thing ever!!!,negative
So proud of this achievement!!!,positive
Something bad will happen to you!!!,threat
You make no sense right now,negative
Keep shining and stay strong!!!,positive
I love this platform 😡,positive
I am coming for you 🙂,threat
This is garbage!!!,negative
Amazing effort by the team right now,positive
Great job everyone 🙂,positive
This is garbage 😡,negative
This is garbage,negative
You will regret this 😡,threat
This is the worst thing ever,negative
I am very angry right now 🙂,negative
Keep shining and stay strong 🙂,positive
You better watch your back!!!,threat
You better watch your back,threat
I will make you pay right now,threat
Amazing effort by the team right now,positive
So proud of this achievement and I mean it,positive
Amazing effort by the team and I mean it,positive
You cannot escape 🙂,threat
"Seriously, this is garbage",negative
"Seriously, i will hurt you",threat
You are doing great work right now,positive
You are so stupid,negative
You will regret this,threat
"Seriously, you cannot escape",threat
This is garbage and I mean it,negative
"Seriously, you inspire many people",positive
This is your last warning,threat
"Seriously, i hate this",negative
You make no sense right now,negative
Amazing effort by the team 😡,positive
pathetic attempt,negative
you are so stupid,negative
You better watch your back right now,threat
You make no sense,negative
Absolutely useless work!!!,negative
This is your last warning and I mean it,threat
I will hurt you 😡,threat
I am very angry right now 🙂,negative
Absolutely useless work right now,negative
So proud of this achievement!!!,positive
"Seriously, i appreciate your kindness",positive
You cannot escape right now,threat
This is garbage right now,negative
This is garbage 🙂,negative
Pathetic attempt right now,negative
This is terrible 😡,negative
"Seriously, you are doing great work",positive
You are doing great work 😡,positive
I hate this,negative
Such a beautiful message right now,positive
Such a dumb idea 😡,negative
This is garbage!!!,negative
I will destroy everything!!!,threat
Great job everyone,positive
You inspire many people 😡,positive
I appreciate your kindness and I mean it,positive
"Seriously, this is garbage",negative
You make no sense!!!,negative
i love this platform,positive
Great job everyone and I mean it,positive
Keep shining and stay strong and I mean it,positive
absolutely useless work,negative
I will make you pay 😡,threat
i will destroy everything,threat
I am very angry right now 😡,negative
I am very angry right now right now,negative
"Seriously, you cannot escape",threat
Pathetic attempt,negative
I will destroy everything 🙂,threat
I appreciate your kindness,positive
You are doing great work 🙂,positive
This is garbage right now,negative
So proud of this achievement 😡,positive
I will make you pay 🙂,threat
"Seriously, this is your last warning",threat
So proud of this achievement right now,positive
You make no sense right now,negative
Amazing effort by the team right now,positive
So proud of this achievement 😡,positive
i am very angry right now,negative
"Seriously, i will find you",threat
This is your last warning,threat
you will regret this,threat
This is terrible and I mean it,negative
This is wonderful news,positive
"Seriously, you better watch your back",threat
Pathetic attempt,negative
"Seriously, you make no sense",negative
You will regret this 🙂,threat
I will hurt you!!!,threat
You inspire many people!!!,positive
So proud of this achievement!!!,positive
Such a dumb idea 😡,negative
You cannot escape!!!,threat
this is the worst thing ever,negative
i am very angry right now,negative
Something bad will happen to you right now,threat
Amazing effort by the team!!!,positive
You are so stupid and I mean it,negative
You cannot escape!!!,threat
You make no sense 😡,negative
You will regret this!!!,threat
so proud of this achievement,positive
I am coming for you right now,threat
I am coming for you right now,threat
I am very angry right now right now,negative
You better watch your back,threat
Such a dumb idea 😡,negative
This is the worst thing ever 😡,negative
Pathetic attempt right now,negative
I appreciate your kindness 😡,positive
This is your last warning right now,threat
This is wonderful news,positive
I am very angry right now and I mean it,negative
Keep shining and stay strong!!!,positive
i appreciate your kindness,positive
You better watch your back!!!,threat
You will regret this 🙂,threat
You will regret this right now,threat
"Seriously, i hate this",negative
You cannot escape!!!,threat
So proud of this achievement!!!,positive
You make no sense and I mean it,negative
i will find you,threat
This is garbage 😡,negative
You make no sense 🙂,negative
"Seriously, such a beautiful message",positive
I will hurt you 😡,threat
You cannot escape and I mean it,threat
I love this platform!!!,positive
Such a beautiful message right now,positive
I will find you!!!,threat
This is terrible 🙂,negative
You make no sense and I mean it,negative
You make no sense 😡,negative
Pathetic attempt 🙂,negative
You cannot escape and I mean it,threat
"Seriously, you will regret this",threat
You make no sense,negative
Something bad will happen to you 🙂,threat
Something bad will happen to you right now,threat
This is garbage 😡,negative
You inspire many people 😡,positive
Keep shining and stay strong right now,positive
I will find you 🙂,threat
This is your last warning,threat
Something bad will happen to you 😡,threat
I will hurt you!!!,threat
I appreciate your kindness 😡,positive
Keep shining and stay strong and I mean it,positive
"Seriously, pathetic attempt",negative
Great job everyone,positive
Something bad will happen to you,threat
You cannot escape and I mean it,threat
You are so stupid and I mean it,negative
You cannot escape and I mean it,threat
So proud of this achievement,positive
I am very angry right now,negative
This is the worst thing ever and I mean it,negative
I will find you 😡,threat
You cannot escape 😡,threat
keep shining and stay strong,positive
You are doing great work right now,positive
I love this platform,positive
i will destroy everything,threat
Pathetic attempt and I mean it,negative
So proud of this achievement!!!,positive
You make no sense 🙂,negative
So proud of this achievement 🙂,positive
This is wonderful news,positive
Amazing effort by the team 😡,positive
This is terrible and I mean it,negative
"Seriously, i will make you pay",threat
I will make you pay and I mean it,threat
Pathetic attempt,negative
I will hurt you right now,threat
"Seriously, i hate this",negative
"Seriously, such a dumb idea",negative
You will regret this!!!,threat
This is terrible and I mean it,negative
Such a dumb idea 😡,negative
I hate this 😡,negative
Such a dumb idea 😡,negative
"Seriously, i appreciate your kindness",positive
Such a beautiful message 🙂,positive
You are doing great work!!!,positive
Something bad will happen to you,threat
I hate this right now,negative
absolutely useless work,negative
This is garbage,negative
This is the worst thing ever 🙂,negative
Great job everyone 😡,positive
Such a dumb idea and I mean it,negative
I am very angry right now and I mean it,negative
You cannot escape,threat
I love this platform,positive
Something bad will happen to you!!!,threat
This is garbage 🙂,negative
"Seriously, this is your last warning",threat
You inspire many people and I mean it,positive
"Seriously, this is wonderful news",positive
I will make you pay!!!,threat
You make no sense!!!,negative
"Seriously, such a beautiful message",positive
This is garbage 🙂,negative
I will destroy everything!!!,threat
"Seriously, this is garbage",negative
Amazing effort by the team!!!,positive
You inspire many people right now,positive
i will make you pay,threat
You are so stupid and I mean it,negative
Pathetic attempt 🙂,negative
I hate this,negative
Keep shining and stay strong!!!,positive
You are so stupid and I mean it,negative
You inspire many people!!!,positive
Such a dumb idea!!!,negative
I will make you pay,threat
this is terrible,negative
Such a beautiful message 😡,positive
I hate this 😡,negative
You make no sense right now,negative
This is terrible 🙂,negative
I will find you and I mean it,threat
this is garbage,negative
Such a dumb idea right now,negative
"Seriously, you will regret this",threat
Great job everyone,positive
Amazing effort by the team,positive
Such a dumb idea and I mean it,negative
This is garbage 🙂,negative
You are so stupid!!!,negative
Amazing effort by the team right now,positive
Such a dumb idea 😡,negative
This is garbage 🙂,negative
I appreciate your kindness 😡,positive
So proud of this achievement right now,positive
You inspire many people!!!,positive
Keep shining and stay strong and I mean it,positive
You inspire many people,positive
You better watch your back 🙂,threat
i will find you,threat
Such a dumb idea,negative
You inspire many people!!!,positive
Amazing effort by the team and I mean it,positive
So proud of this achievement!!!,positive
"Seriously, i love this platform",positive
Something bad will happen to you right now,threat
I will find you and I mean it,threat
This is terrible 🙂,negative
This is your last warning,threat
Amazing effort by the team and I mean it,positive
So proud of this achievement right now,positive
Such a dumb idea 🙂,negative
Such a beautiful message 🙂,positive
I am coming for you and I mean it,threat
I will hurt you and I mean it,threat
I will find you 🙂,threat
You are doing great work right now,positive
"Seriously, you are so stupid",negative
You cannot escape 😡,threat
"Seriously, this is terrible",negative
I will hurt you right now,threat
"Seriously, absolutely useless work",negative
I love this platform 😡,positive
i appreciate your kindness,positive
You are so stupid right now,negative
Amazing effort by the team,positive
Amazing effort by the team 😡,positive
"Seriously, amazing effort by the team",positive
Such a dumb idea,negative
"Seriously, i am very angry right now",negative
This is your last warning,threat
You inspire many people!!!,positive
Keep shining and stay strong right now,positive
You cannot escape right now,threat
This is terrible right now,negative
Amazing effort by the team 🙂,positive
Such a beautiful message,positive
Keep shining and stay strong and I mean it,positive
Something bad will happen to you 🙂,threat
I hate this right now,negative
"Seriously, keep shining and stay strong",positive
Absolutely useless work,negative
you cannot escape,threat
Great job everyone,positive
I am very angry right now and I mean it,negative
You make no sense and I mean it,negative
You are doing great work right now,positive
keep shining and stay strong,positive
This is garbage 🙂,negative
"Seriously, i am coming for you",threat
So proud of this achievement 🙂,positive
Keep shining and stay strong right now,positive
I am coming for you!!!,threat
This is terrible right now,negative
You are so stupid!!!,negative
Keep shining and stay strong 😡,positive
You inspire many people and I mean it,positive
Such a beautiful message,positive
This is wonderful news!!!,positive
Absolutely useless work right now,negative
"Seriously, i will destroy everything",threat
You inspire many people right now,positive
I am very angry right now,negative
You better watch your back right now,threat
Amazing effort by the team 😡,positive
You are doing great work!!!,positive
Keep shining and stay strong!!!,positive
You inspire many people 😡,positive
Amazing effort by the team and I mean it,positive
Great job everyone right now,positive
You cannot escape!!!,threat
Great job everyone,positive
This is wonderful news 😡,positive
"Seriously, such a dumb idea",negative
Keep shining and stay strong,positive
Something bad will happen to you and I mean it,threat
This is the worst thing ever 🙂,negative
This is your last warning!!!,threat
"Seriously, i am very angry right now",negative
Such a beautiful message!!!,positive
You are so stupid!!!,negative
Something bad will happen to you!!!,threat
great job everyone,positive
I am very angry right now 😡,negative
I will make you pay!!!,threat
you make no sense,negative
"Seriously, you cannot escape",threat
You are doing great work right now,positive
"Seriously, this is the worst thing ever",negative
Such a beautiful message right now,positive
I hate this and I mean it,negative
I love this platform 😡,positive
you are so stupid,negative
I love this platform,positive
I will hurt you!!!,threat
I am coming for you 🙂,threat
you cannot escape,threat
you are so stupid,negative
I am very angry right now right now,negative
this is garbage,negative
I will make you pay right now,threat
I am coming for you and I mean it,threat
Great job everyone 😡,positive
I hate this 🙂,negative
So proud of this achievement and I mean it,positive
This is your last warning 🙂,threat
I love this platform right now,positive
"Seriously, you will regret this",threat
"Seriously, pathetic attempt",negative
I will find you,threat
this is your last warning,threat
I will destroy everything and I mean it,threat
I will make you pay 🙂,threat
You cannot escape right now,threat
I love this platform 😡,positive
This is wonderful news right now,positive
I will hurt you 😡,threat
You cannot escape 🙂,threat
This is terrible 😡,negative
You inspire many people 😡,positive
You better watch your back!!!,threat
You are so stupid 🙂,negative
"Seriously, you cannot escape",threat
I love this platform,positive
You cannot escape 😡,threat
Such a beautiful message!!!,positive
You are so stupid,negative
i am very angry right now,negative
you will regret this,threat
Great job everyone,positive
"Seriously, such a dumb idea",negative
You make no sense 🙂,negative
So proud of this achievement 😡,positive
absolutely useless work,negative
I will hurt you!!!,threat
Keep shining and stay strong 😡,positive
Something bad will happen to you 🙂,threat
You better watch your back right now,threat
I am very angry right now,negative
"Seriously, i appreciate your kindness",positive
"Seriously, this is garbage",negative
You are so stupid and I mean it,negative
You inspire many people 😡,positive
I am very angry right now!!!,negative
I am very angry right now,negative
this is terrible,negative
You better watch your back and I mean it,threat
"Seriously, such a dumb idea",negative
You will regret this!!!,threat
You inspire many people,positive
I love this platform and I mean it,positive
You cannot escape 😡,threat
Amazing effort by the team and I mean it,positive
"Seriously, so proud of this achievement",positive
Keep shining and stay strong,positive
You make no sense,negative
you cannot escape,threat
You make no sense 😡,negative
i will make you pay,threat
I hate this right now,negative
So proud of this achievement,positive
I love this platform,positive
"Seriously, something bad will happen to you",threat
Such a beautiful message and I mean it,positive
This is wonderful news!!!,positive
This is the worst thing ever and I mean it,negative
This is terrible and I mean it,negative
Great job everyone and I mean it,positive
Keep shining and stay strong 🙂,positive
so proud of this achievement,positive
This is terrible 🙂,negative
"Seriously, you will regret this",threat
Such a beautiful message!!!,positive
You will regret this 🙂,threat
So proud of this achievement 😡,positive
This is garbage 🙂,negative
"Seriously, this is your last warning",threat
You better watch your back 😡,threat
Pathetic attempt,negative
You will regret this 🙂,threat
You better watch your back 🙂,threat
I love this platform 😡,positive
pathetic attempt,negative
I am very angry right now 🙂,negative
Absolutely useless work,negative
I will find you!!!,threat
you are so stupid,negative
I hate this 😡,negative
You better watch your back 😡,threat
I will make you pay,threat
I am very angry right now,negative
I will find you right now,threat
such a dumb idea,negative
Amazing effort by the team 😡,positive
this is your last warning,threat
"Seriously, i appreciate your kindness",positive
you better watch your back,threat
This is the worst thing ever 😡,negative
I am coming for you and I mean it,threat
I will make you pay 🙂,threat
Such a beautiful message and I mean it,positive
you better watch your back,threat
Such a beautiful message!!!,positive
Such a dumb idea and I mean it,negative
You cannot escape 🙂,threat
This is the worst thing ever 🙂,negative
So proud of this achievement right now,positive
Pathetic attempt!!!,negative
"Seriously, keep shining and stay strong",positive
You cannot escape and I mean it,threat
I will hurt you,threat
I love this platform 🙂,positive
Absolutely useless work,negative
Great job everyone,positive
"Seriously, i am very angry right now",negative
this is the worst thing ever,negative
Pathetic attempt 🙂,negative
I am very angry right now!!!,negative
I will make you pay 😡,threat
I appreciate your kindness!!!,positive
"Seriously, such a beautiful message",positive
"Seriously, you better watch your back",threat
So proud of this achievement 🙂,positive
"Seriously, you will regret this",threat
This is garbage 🙂,negative
You make no sense and I mean it,negative
you inspire many people,positive
this is garbage,negative
You make no sense right now,negative
I am very angry right now and I mean it,negative
Such a dumb idea right now,negative
absolutely useless work,negative
Amazing effort by the team!!!,positive
I love this platform 😡,positive
You are so stupid and I mean it,negative
keep shining and stay strong,positive
I love this platform right now,positive
I am very angry right now and I mean it,negative
I am coming for you,threat
You will regret this 😡,threat
You better watch your back right now,threat
Such a dumb idea!!!,negative
"Seriously, you inspire many people",positive
"Seriously, i am very angry right now",negative
Absolutely useless work right now,negative
You will regret this and I mean it,threat
I will make you pay,threat
i am very angry right now,negative
Something bad will happen to you 😡,threat
Such a beautiful message and I mean it,positive
"Seriously, i appreciate your kindness",positive
So proud of this achievement and I mean it,positive
This is the worst thing ever,negative
You make no sense 😡,negative
I will destroy everything 🙂,threat
Great job everyone!!!,positive
"Seriously, i hate this",negative
I hate this 🙂,negative
"Seriously, great job everyone",positive
i will destroy everything,threat
So proud of this achievement 🙂,positive
"Seriously, i will find you",threat
Pathetic attempt,negative
Such a dumb idea,negative
Pathetic attempt 🙂,negative
I appreciate your kindness right now,positive
You make no sense and I mean it,negative
"Seriously, something bad will happen to you",threat
You are so stupid 🙂,negative
Something bad will happen to you right now,threat
You will regret this 🙂,threat
i hate this,negative
"Seriously, amazing effort by the team",positive
Keep shining and stay strong,positive
"Seriously, pathetic attempt",negative
You inspire many people,positive
"Seriously, you are doing great work",positive
"Seriously, i am very angry right now",negative
You better watch your back,threat
I am very angry right now and I mean it,negative
Such a dumb idea,negative
"Seriously, you are so stupid",negative
This is terrible,negative
Amazing effort by the team 😡,positive
"Seriously, you cannot escape",threat
Something bad will happen to you right now,threat
"Seriously, i love this platform",positive
This is terrible!!!,negative
I am coming for you,threat
This is garbage,negative
keep shining and stay strong,positive
You are so stupid right now,negative
you will regret this,threat
I hate this 😡,negative
You make no sense 🙂,negative
Amazing effort by the team right now,positive
I will make you pay 😡,threat
Something bad will happen to you,threat
"Seriously, keep shining and stay strong",positive
I will make you pay 🙂,threat
You better watch your back!!!,threat
You better watch your back right now,threat
You better watch your back 😡,threat
You better watch your back!!!,threat
So proud of this achievement and I mean it,positive
This is terrible and I mean it,negative
Such a beautiful message!!!,positive
Such a beautiful message 🙂,positive
"Seriously, i will find you",threat
"Seriously, this is wonderful news",positive
I will hurt you!!!,threat
I will make you pay right now,threat
I am coming for you!!!,threat
You are doing great work!!!,positive
You cannot escape!!!,threat
I will make you pay 😡,threat
keep shining and stay strong,positive
Something bad will happen to you 😡,threat
i appreciate your kindness,positive
"Seriously, i am very angry right now",negative
I am very angry right now,negative
Amazing effort by the team 😡,positive
I will destroy everything,threat
Absolutely useless work,negative
This is your last warning 🙂,threat
You cannot escape and I mean it,threat
Absolutely useless work!!!,negative
You cannot escape 😡,threat
I will make you pay 😡,threat
something bad will happen to you,threat
You better watch your back 🙂,threat
This is terrible right now,negative
"Seriously, amazing effort by the team",positive
This is terrible right now,negative
I will make you pay!!!,threat
I am very angry right now,negative
I am very angry right now!!!,negative
"Seriously, such a beautiful message",positive
"Seriously, great job everyone",positive
You are so stupid and I mean it,negative
This is terrible right now,negative
This is wonderful news!!!,positive
You cannot escape and I mean it,threat
This is garbage right now,negative
I will hurt you right now,threat
You better watch your back right now,threat
I hate this right now,negative
I will destroy everything right now,threat
i will hurt you,threat
You will regret this,threat
You better watch your back,threat
You are so stupid right now,negative
You inspire many people and I mean it,positive
This is wonderful news 🙂,positive
So proud of this achievement 😡,positive
"Seriously, this is your last warning",threat
You are so stupid,negative
Great job everyone right now,positive
this is the worst thing ever,negative
this is wonderful news,positive
You inspire many people!!!,positive
"Seriously, i will find you",threat
I will destroy everything!!!,threat
This is the worst thing ever,negative
Something bad will happen to you,threat
This is garbage,negative
such a dumb idea,negative
"Seriously, great job everyone",positive
you are so stupid,negative
I am very angry right now 😡,negative
Amazing effort by the team 🙂,positive
"Seriously, so proud of this achievement",positive
I am coming for you,threat
This is the worst thing ever 😡,negative
you better watch your back,threat
I will find you 😡,threat
"Seriously, pathetic attempt",negative
I will find you 😡,threat
You make no sense and I mean it,negative
something bad will happen to you,threat
you cannot escape,threat
I love this platform and I mean it,positive
I hate this right now,negative
I hate this right now,negative
this is wonderful news,positive
I hate this,negative
So proud of this achievement,positive
This is your last warning,threat
Pathetic attempt right now,negative
"Seriously, absolutely useless work",negative
"Seriously, i will destroy everything",threat
This is the worst thing ever and I mean it,negative
Great job everyone right now,positive
"Seriously, this is garbage",negative
amazing effort by the team,positive
"Seriously, great job everyone",positive
"Seriously, you make no sense",negative
I will find you right now,threat
"Seriously, pathetic attempt",negative
I will hurt you and I mean it,threat
I appreciate your kindness!!!,positive
You make no sense and I mean it,negative
You will regret this,threat
This is your last warning right now,threat
you inspire many people,positive
great job everyone,positive
I love this platform 😡,positive
you inspire many people,positive
You are so stupid 😡,negative
Amazing effort by the team right now,positive
Amazing effort by the team and I mean it,positive
You better watch your back right now,threat
Keep shining and stay strong!!!,positive
This is terrible and I mean it,negative
You better watch your back 🙂,threat
This is wonderful news and I mean it,positive
You inspire many people,positive
Something bad will happen to you!!!,threat
Absolutely useless work and I mean it,negative
"Seriously, i am very angry right now",negative
You better watch your back!!!,threat
This is the worst thing ever!!!,negative
Such a beautiful message,positive
I will destroy everything!!!,threat
You are doing great work right now,positive
I will make you pay,threat
